#Name|Dust|NodeTop|NodeTopDepth|Filler|FillerDepth|Stone|WaterTop|WaterTopDepth|Water|River water|RiverBed|RiverBedDepth|CaveLiquid|DungeonNode|DungeonAlt|DungeonStair|Y-min|Y-max|Temperature|Humidity|MaxPos|MinPos|VerticalBlend||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#GENERIC|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
generic_mantle||lib_materials:stone_brown|5|lib_materials:stone_basalt_01|6|lib_materials:liquid_lava_source|||||||||||-31000|-20000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone_basalt_01_layer||lib_materials:stone_sand|5|lib_materials:stone_brown|4|lib_materials:stone_basalt_01||||lib_materials:liquid_lava_source|||||||-20000|-15000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone_brown_layer||lib_materials:stone_desert|5|lib_materials:stone_sand|6|lib_materials:stone_brown||||lib_materials:liquid_lava_source|||||||-15000|-10000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone_sand_layer||lib_materials:stone_sandstone_desert|5|lib_materials:stone_desert|5|lib_materials:stone_sand||||lib_materials:liquid_lava_source|||||||-10000|-6000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
desert_stone_layer||lib_materials:stone_limestone_01|5|lib_materials:stone_sandstone_desert|4|lib_materials:stone_desert||||lib_materials:liquid_lava_source|||||||-6000|-5000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
desert_sandstone_layer||lib_materials:stone_granite_01|5|lib_materials:stone_limestone_01|3|lib_materials:stone_sandstone_desert||||lib_materials:liquid_lava_source|||||||-5000|-4000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
generic_stone_limestone_01_layer||lib_materials:stone|5|lib_materials:stone_granite_01|6|lib_materials:stone_limestone_01||||lib_materials:liquid_lava_source|||||||-4000|-3000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
generic_granite_layer||lib_materials:stone_gabbro|5|lib_materials:stone|5|lib_materials:stone_granite_01||||lib_materials:liquid_lava_source|||||||-3000|-2000|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
generic_stone_layer||lib_materials:stone_andesite|5|lib_materials:stone_gabbro|6|lib_materials:stone||||lib_materials:liquid_lava_source|||||||-2000|ocean_depth|50|50|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
#HOT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
